"Ticks","ArticleTitle","Title","AbstractText","DOI","city","year","notes","ID"
"ticks in cities","Subadult Ixodes ricinus (Acari: Ixodidae) on rodents in Berlin, West Germany.","Journal of medical entomology","To identify hosts that may serve as reservoirs for the agent of Lyme disease in Central Europe, we determined whether Ixodes ricinus L. feed most frequently on certain rodents and whether the abundance of these hosts corresponds to the season of feeding activity of the tick in four sites in Berlin, Federal Republic of Germany. In addition, we correlated abundance of I. ricinus with that of particular rodent hosts. Two small rodents were more abundant than any others; a mouse, Apodemus flavicollis, predominated in a wooded site and a vole, Clethrionomys glareolus, in three brush- or grass-covered sites. The tick was most abundant in the mouse-infested site. Although A. flavicollis comprised only about a third of rodents collected, nearly 60% of all such rodent parasitizing I. ricinus fed on this mouse. These ticks were more abundant on mice than voles in each of the study sites and throughout the year, and more larvae fed on these rodents than did nymphs. Although larval as well as nymphal I. ricinus are most abundant during midsummer, they feed on rodents from April through October. Taken together, these observations suggest A. flavicollis as a potentially important reservoir host for I. ricinus-borne infections.","10.1093/jmedent/27.3.385","Berlin",1990,"","TIC000078"
"ticks in cities","Evidence for Lyme disease in urban park workers: a potential new health hazard for city inhabitants.","British journal of rheumatology","In the UK, cases of Lyme disease have only been reported from rural areas. Recently, however, Ixodes ticks infected with Borrelia burgdorferi have been found in London parks. To determine whether this constituted a health hazard, we questioned 44 workers from Richmond and Bushey parks to assess their exposure to tick bites and whether they had a clinical history of Lyme disease. Their serum was subsequently investigated for antibodies to two different preparations of Borrelia burgdorferi (whole cell sonicate and flagellin) and the specificity of these antibodies determined by immunoblotting. Comparison was made to zoo keepers (n = 27) from a wildlife park outside London. Tick bites were reported in 23% of park workers and of these, three described symptoms compatible with Lyme disease. Raised antibody levels were found in 10 (24%) of the park workers compared with one (4%) of the zoo keepers using ELISA with whole cell sonicate as antigen (P = 0.02) and 6 (14%) of park workers and none of the zoo keepers using purified flagellin as antigen (P &lt; 0.05). Analysis of the immunoblots revealed more bands were detected in park workers (mean 1.8, range 0-6) than in the zoo keeper controls (mean 0.8, range 0-4); P &lt; 0.001 and 14 (32%) of the park workers had reactivity with three or more protein bands, whilst only one of the zoo keepers showed this level of antigen binding (P &lt; 0.005). These data suggest previous infection with B. burgdorferi in London park workers which has important health implications for these individuals, other park workers and possibly park visitors.","10.1093/rheumatology/33.2.123","London",1994,"","TIC000079"
"ticks in cities","Infestation of urban populations of the Northern white-breasted hedgehog, Erinaceus roumanicus, by Ixodes spp. ticks in Poland.","Medical and veterinary entomology","Infestation by the nest-dwelling Ixodes hexagonus Leach and the exophilic Ixodes ricinus (Linnaeus) (Ixodida: Ixodidae) on the Northern white-breasted hedgehog, Erinaceus roumanicus (Erinaceomorpha: Erinaceidae), was investigated during a 4-year study in residential areas of the city of Pozna&#x144;, west-central Poland. Of 341 hedgehogs, 303 (88.9%) hosted 10&#x2009;061 Ixodes spp. ticks encompassing all parasitic life stages (larvae, nymphs, females). Ixodes hexagonus accounted for 73% and I.&#x2009;ricinus for 27% of the collected ticks. Male hedgehogs carried significantly higher tick burdens than females. Analyses of seasonal prevalence and abundance of I.&#x2009;hexagonus revealed relatively stable levels of infestation of all parasitic stages, with a modest summer peak in tick abundance noted only on male hosts. By contrast, I.&#x2009;ricinus females and nymphs peaked in spring and declined steadily thereafter in summer and autumn, whereas the less abundant larvae peaked in summer. This is the first longterm study to evaluate the seasonal dynamics of both tick species on populations of wild hedgehogs inhabiting urban residential areas.","10.1111/mve.12065","Poznań",2014,"","TIC000080"
"ticks in cities","Tick abundances in South London parks and the potential risk for Lyme borreliosis to the general public.","Medical and veterinary entomology","Tick abundances and prevalences of infection with Borrelia burgdorferi sensu lato, the causative agent of Lyme disease, were investigated in four South London parks. A total of 360 transects were sampled using three methods of collection (blanket, leggings and flags) simultaneously. No ticks were found on Wimbledon Common or at Hampton Court, but 1118 Ixodes ricinus (Ixodida: Ixodidae) ticks were collected at Richmond and Bushy Parks. At Richmond Park, lower canopy humidity [odds ratio (OR) 0.94; P = 0.005], increased mat depth (OR 1.15; P &lt; 0.001) and increased soil moisture (OR 1.40; P = 0.001) predicted the presence of I. ricinus, and increased sward height [incidence rate ratio (IRR) 1.01; P = 0.006] and decreased ground temperature (IRR 0.90; P = 0.009) predicted increased abundance. At Bushy Park, thicker mat depth predicted tick presence (OR 1.17; P = 0.006) and increasing temperature correlated with tick absence (OR 0.57; P = 0.023). A total of 279 ticks were screened for the presence of B. burgdorferi using quantitative polymerase chain reaction. Point prevalences of 0% for larvae (n = 78), 2.14% for nymphs (n = 174) and 0% for adult ticks (n = 7) related to an acarological risk of 0.22 infected ticks per 40 m transect in Richmond Park. The abundance of ticks and the acarological risk, particularly at Richmond Park, highlight the need for appropriate communication of the associated risk to the general public frequenting these recreational areas.","10.1111/mve.12137","London",2015,"","TIC000081"
"ticks in cities","Road-killed mammals provide insight into tick-borne bacterial pathogen communities within urban habitats.","Transboundary and emerging diseases","Small- and medium-sized mammals play an important role in the life cycle of tick-borne pathogens in urban habitats. Our aim was to apply the general protocol, DAMA (documentation-assessment-monitoring-action), which is an integrated proposal to build a proactive capacity to understand, anticipate, and respond to the outcomes of accelerating environmental change. Here we tested whether road-killed carcasses in urban areas are useful sources of tissue and parasite samples to investigate these species' contribution to the epidemiology of vector-borne diseases. We collected 29 road-killed and 6 carcasses with different causes of mortality (23 northern white-breasted hedgehogs and 12 from seven other mammal species) mainly from Budapest, Hungary. We used quantitative and conventional PCRs to determine pathogens in 90 collected tissues (52 from hedgehogs; 38 from other species) and 417 ticks that were only found on hedgehogs. Tissue samples revealed a wide range of bacteria including human zoonotic pathogens identified as Anaplasma phagocytophilum ecotype I, Borrelia afzelii, B.&#xa0;spielmanii, Borrelia miyamotoi, Rickettsia helvetica, and Bartonella species. Among the 23 collected hedgehog carcasses, 17 (74%) were infected with A.&#xa0;phagocytophilum, 6 (26%) with Borrelia burgdorferi s.l., 12 (52%) with R.&#xa0;helvetica, and 15 (65%) with Rickettsia sp. Furthermore, we report the first detection of Rickettsia sp. infection in European moles and lesser weasel and R.&#xa0;helvetica in stone marten. Through sequencing B.&#xa0;afzelii, R.&#xa0;helvetica, R.&#xa0;monacensis and A.&#xa0;phagocytophilum ecotype I were identified in the ticks removed from the carcasses. We showed that road-killed urban mammal species are exposed to multiple tick-borne pathogens but further studies have to clarify whether they, in fact, also have a role in their maintenance and spread. Our study also demonstrates that roadkill can be used in the risk assessment of potential human infection and in the implementation of the DAMA protocol.","10.1111/tbed.13019","Budapest",2018,"","TIC000082"
"ticks in cities","Ticks on wild boar in the metropolitan area of Barcelona (Spain) are infected with spotted fever group rickettsiae.","Transboundary and emerging diseases","Tick-borne pathogens (TBPs) constitute an emerging public health concern favoured by multidimensional global changes. Amongst these, increase and spread of wild boar (Sus scrofa) populations are of special concern since this species can act as a reservoir of zoonotic pathogens and promote tick abundance. Thus, we aimed to make a first assessment of the risk by TBPs resulting from wild boar and ticks in the vicinity of a highly populated area. Between 2014 and 2016, we collected spleen samples and 2256 ticks from 261 wild boars (out of 438 inspected) in the metropolitan area of Barcelona (MAB; northeast Spain). We morphologically identified four tick species: Hyalomma lusitanicum (infestation prevalence: 33.6%), Dermacentor marginatus (26.9%), Rhipicephalus sanguineus sensu lato (18.9%) and R. bursa (0.2%). Ticks were pooled according to species and individual host. A total of 180 tick pools and 167 spleen samples were screened by real-time PCR and/or reverse line blot hybridization assay for Ehrlichia sp., Anaplasma sp., Babesia sp., Rickettsia sp., Borrelia burgdorferi sensu lato and Coxiella burnetii. Seventy-two out of the 180 tick pools were positive to Rickettsia spp. (minimum prevalence of 8.7%), including Rickettsia massiliae, R. slovaca and R. raoultii. We did not detect Rickettsia spp. in wild boar spleens nor other TBPs in ticks or wild boars. Since the ticks identified can bite humans, and the recorded spotted fever group (SFG) rickettsiae are zoonotic pathogens, there is a risk of SFG rickettsiae transmission for MAB inhabitants. Our results suggest a broader distribution of H. lusitanicum, competent vector for the Crimean-Congo haemorrhagic fever virus than previously known. Wild boar is not a Rickettsia spp. reservoir according to the spleen negative results. However, its abundance could favour tick life cycle and abundance, and its proximity to humans could promote the infection risk by Rickettsia spp.","10.1111/tbed.14268","Barcelona",2021,"","TIC000083"
"ticks in cities","Susceptibility to Ticks and Lyme Disease Spirochetes Is Not Affected in Mice Coinfected with Nematodes.","Infection and immunity","Small rodents serve as reservoir hosts for tick-borne pathogens, such as the spirochetes causing Lyme disease. Whether natural coinfections with other macroparasites alter the success of tick feeding, antitick immunity, and the host's reservoir competence for tick-borne pathogens remains to be determined. In a parasitological survey of wild mice in Berlin, Germany, approximately 40% of Ixodes ricinus-infested animals simultaneously harbored a nematode of the genus Heligmosomoides We therefore aimed to analyze the immunological impact of the nematode/tick coinfection as well as its effect on the tick-borne pathogen Borrelia afzelii Hosts experimentally coinfected with Heligmosomoides polygyrus and larval/nymphal I. ricinus ticks developed substantially stronger systemic type 2 T helper cell (Th2) responses, on the basis of the levels of GATA-3 and interleukin-13 expression, than mice infected with a single pathogen. During repeated larval infestations, however, anti-tick Th2 reactivity and an observed partial immunity to tick feeding were unaffected by concurrent nematode infections. Importantly, the strong systemic Th2 immune response in coinfected mice did not affect susceptibility to tick-borne B. afzelii An observed trend for decreased local and systemic Th1 reactivity against B. afzelii in coinfected mice did not result in a higher spirochete burden, nor did it facilitate bacterial dissemination or induce signs of immunopathology. Hence, this study indicates that strong systemic Th2 responses in nematode/tick-coinfected house mice do not affect the success of tick feeding and the control of the causative agent of Lyme disease.","10.1128/IAI.01309-15","Berlin",2016,"","TIC000084"
"ticks in cities","Occurrence of Babesia spp., Rickettsia spp. and Bartonella spp. in Ixodes ricinus in Bavarian public parks, Germany.","Parasites &amp; vectors","Only limited information is available about the occurrence of ticks and tick-borne pathogens in public parks, which are areas strongly influenced by human beings. For this reason, Ixodes ricinus were collected in public parks of different Bavarian cities in a 2-year survey (2009 and 2010) and screened for DNA of Babesia spp., Rickettsia spp. and Bartonella spp. by PCR. Species identification was performed by sequence analysis and alignment with existing sequences in GenBank. Additionally, coinfections with Anaplasma phagocytophilum were investigated.The following prevalences were detected: Babesia spp.: 0.4% (n = 17, including one pool of two larvae) in 2009 and 0.5 to 0.7% (n = 11, including one pool of five larvae) in 2010; Rickettsia spp.: 6.4 to 7.7% (n = 285, including 16 pools of 76 larvae) in 2009. DNA of Bartonella spp. in I. ricinus in Bavarian public parks could not be identified. Sequence analysis revealed the following species: Babesia sp. EU1 (n = 25), B. divergens (n = 1), B. divergens/capreoli (n = 1), B. gibsoni-like (n = 1), R. helvetica (n = 272), R. monacensis IrR/Munich (n = 12) and unspecified R. monacensis (n = 1). The majority of coinfections were R. helvetica with A. phagocytophilum (n = 27), but coinfections between Babesia spp. and A. phagocytophilum, or Babesia spp. and R. helvetica were also detected.I. ricinus ticks in urban areas of Germany harbor several tick-borne pathogens and coinfections were also observed. Public parks are of particularly great interest regarding the epidemiology of tick-borne pathogens, because of differences in both the prevalence of pathogens in ticks as well as a varying species arrangement when compared to woodland areas. The record of DNA of a Babesia gibsoni-like pathogen detected in I. ricinus suggests that I. ricinus may harbor and transmit more Babesia spp. than previously known. Because of their high recreational value for human beings, urban green areas are likely to remain in the research focus on public health issues.","10.1186/1756-3305-4-135","Munich",2011,"","TIC000085"
"ticks in cities","Molecular detection of Hepatozoon spp. and Cytauxzoon sp. in domestic and stray cats from Madrid, Spain.","Parasites &amp; vectors","Different species of apicomplexan protozoans of the genera Hepatozoon and Cytauxzoon can infect domestic cats, but their epidemiology and clinical relevance are not fully understood. The aim of this study was to assess the molecular prevalence of Hepatozoon spp. and Cytauxzoon spp. and to identify associated risk factors and clinical and laboratory abnormalities in a population of cats from Madrid, Spain.Six hundred and forty-four client-owned and stray cats from Madrid, Spain, were included in this study. DNA samples were analyzed by two polymerase chain reaction (PCR) tests to detect a partial sequence of the 18S rRNA gene of Hepatozoon spp. and Cytauxzoon spp. In order to evaluate possible associations between infection by these protozoans and epidemiological or clinical parameters, data were collected related to: the season of sample collection, age, gender, spayed/neutered status, breed, living area, lifestyle, outdoor access, contact with other animals, prey on wild animals, history of tick or flea infestation, travel history, ectoparasiticide treatment, previous blood transfusion, previous tetracycline administration in the last 60&#xa0;days, Feline Leukemia virus (FeLV) and Feline Immunodeficiency virus (FIV) status, positivity to other vector-borne diseases, the presence or absence of clinical signs and hematological or biochemical alterations.DNA of Hepatozoon spp. and Cytauxzoon sp. was amplified from the blood of 10 (1.6%) and 8 (1.2%) cats, respectively. Previous treatment with tetracyclines in the last 60&#xa0;days, previous administration of blood transfusion, a decrease in haematocrit and an increase in creatinine were associated with Hepatozoon spp. infection. Cytauxzoon sp. infection was more frequent in samples collected during the winter months and in cats living in rural areas. This infection was associated with a FIV-positive status. Some of the cats that were positive for Hepatozoon spp. or Cytauxzoon sp. had been exposed to other vector-borne pathogens, such as Ehrlichia canis and Bartonella henselae.Our results indicate that cats from Madrid, central Spain, are infected with Hepatozoon spp. and Cytauxzoon sp., although with a low prevalence. Further studies are needed to determine the virulence of these agents in Spanish cats.","10.1186/s13071-017-2056-1","Madrid",2017,"","TIC000086"
"ticks in cities","Ticks and the city - are there any differences between city parks and natural forests in terms of tick abundance and prevalence of spirochaetes?","Parasites &amp; vectors","Ixodes ricinus ticks are commonly encountered in either natural or urban areas, contributing to Lyme disease agents Borreliella [(Borrelia burgdorferi (sensu lato)] spp. and Borrelia miyamotoi enzootic cycles in cities. It is an actual problem whether urbanization affects pathogen circulation and therefore risk of infection. The aim of the study was to evaluate main tick-borne disease risk factors in natural, endemic areas of north-east (NE) Poland (Bia&#x142;owie&#x17c;a) and urban areas of central Poland (Warsaw), measuring tick abundance/density, prevalence of infection with spirochaetes and diversity of these pathogens in spring-early summer and late summer-autumn periods between 2012 and 2015.Questing I. ricinus ticks were collected from three urban sites in Warsaw, central Poland and three natural sites in Bia&#x142;owie&#x17c;a, NE Poland. A total of 2993 ticks were analyzed for the presence of Borreliella spp. and/or Borrelia miyamotoi DNA by PCR. Tick abundance was analyzed by General Linear Models (GLM). Prevalence and distribution of spirochaetes was analyzed by Maximum Likelihood techniques based on log-linear analysis of contingency tables (HILOGLINEAR). Species typing and molecular phylogenetic analysis based on the sequenced flaB marker were carried out.Overall 4617 I. ricinus ticks were collected (2258 nymphs and 2359 adults). We report well established population of ticks in urban areas (10.1&#xa0;&#xb1;&#xa0;0.9 ticks/100&#xa0;m<sup>2</sup>), as in endemic natural areas with higher mean tick abundance (16.5&#xa0;&#xb1;&#xa0;1.5 ticks/100&#xa0;m<sup>2</sup>). Tick densities were the highest in spring-early summer in both types of areas. We observed no effect of the type of area on Borreliella spp. and B. miyamotoi presence in ticks, resulting in similar prevalence of spirochaetes in urban and natural areas [10.9% (95% CI: 9.7-12.2%) vs 12.4% (95% CI: 10.1-15.1%), respectively]. Prevalence of spirochaetes was significantly higher in the summer-autumn period than in the spring-early summer [15.0% (95% CI: 12.8-17.5%) vs 10.4% (95% CI: 9.2-11.6%), respectively]. We have detected six species of bacteria present in both types of areas, with different frequencies: dominance of B. afzelii (69.3%) in urban and B. garinii (48.1%) in natural areas. Although we observed higher tick densities in forests than in maintained parks, the prevalence of spirochaetes was significantly higher in the latter [9.8% (95% CI: 8.6-11.0%) vs 17.5% (95% CI: 14.4-20.5%)].Surprisingly, a similar risk of infection with Borreliella spp. and/or B. miyamotoi was discovered in highly- and low-transformed areas. We suggest that the awareness of presence of these disease agents in cities should be raised.","10.1186/s13071-017-2391-2","Warsaw",2017,"","TIC000087"
"ticks in cities","Large-scale countrywide screening for tick-borne pathogens in field-collected ticks in Latvia during 2017-2019.","Parasites &amp; vectors","Tick-borne diseases are of substantial concern worldwide in both humans and animals. Several hard tick species are of medical and veterinary interest in Europe, and changes in the range of tick species can affect the spread of zoonotic pathogens. The aim of the present study was to map the current prevalence and distribution pattern of ticks and related tick-borne pathogens in Latvia, a Baltic state in northern Europe.Nearly 4600 Ixodes ricinus, I. persulcatus and Dermacentor reticulatus tick samples were collected in all regions of Latvia during 2017-2019 and were screened by molecular methods to reveal the prevalence and distribution pattern of a wide spectrum of tick-borne pathogens.New localities of D. reticulatus occurrence were found in western and central Latvia, including the Riga region, indicating that the northern border of D. reticulatus in Europe has moved farther to the north. Among the analyzed ticks, 33.42% carried at least one tick-borne pathogen, and 5.55% of tick samples were positive for two or three pathogens. A higher overall prevalence of tick-borne pathogens was observed in I. ricinus (34.92%) and I. persulcatus (31.65%) than in D. reticulatus (24.2%). The molecular analysis revealed the presence of tick-borne encephalitis virus, Babesia spp., Borrelia spp., Anaplasma phagocytophilum and Rickettsia spp. Overall, 15 and 7 tick-borne pathogen species were detected in Ixodes spp. and D. reticulatus ticks, respectively. This is the first report of Borrelia miyamotoi in Latvian field-collected ticks.This large-scale countrywide study provides a snapshot of the current distribution patterns of Ixodes and Dermacentor ticks in Latvia and gives us a reliable overview of tick-borne pathogens in Latvian field-collected ticks.","10.1186/s13071-020-04219-7","Riga",2020,"","TIC000088"
"ticks in cities","Questing tick abundance in urban and peri-urban parks in the French city of Lyon.","Parasites &amp; vectors","In Europe, ticks are responsible for the transmission of several pathogens of medical importance, including bacteria of the Borrelia burgdorferi (s.l.) complex, the agents of Lyme borreliosis. In France, the Auvergne Rh&#xf4;ne-Alpes region is considered a hot spot for human tick-borne pathogen infections, with an estimated annual rate of 156 cases of Lyme borreliosis per 100,000 inhabitants. Although several studies have assessed the abundance of ticks in rural areas, little consideration has been given thus far to urban green spaces in France.This study aimed to estimate tick abundance in three parks, two urban (U1, U2) and one peri-urban (PU), in and around the city of Lyon (France). A forest in a rural area was used as a control (C). Tick sampling campaigns were performed in each site in April, May, June, July, and October 2019 using the dragging method. One hundred transects of 10&#xa0;m<sup>2</sup> each were randomly chosen in each park in places frequented by humans. The sampling sessions were carried out under semi-controlled abiotic conditions. Ticks were stored in 70% ethanol and identified to species and developmental stage under a light microscope using morphological keys.A total of seven ticks (nymphs and adults) were collected in the two urban parks (six in U1 and one in U2), while 499 ticks were sampled in the peri-urban park. Of the 506 ticks collected, 504 were identified as Ixodes ricinus, one as Dermacentor marginatus, and one as Ixodes frontalis. In the peri-urban park, ticks were mainly collected under the forest cover and at forest edges. Tick density under forest cover was 7.1 times higher in the control site than in the peri-urban park throughout the survey period.This study confirmed the presence of ticks in all of the parks surveyed, although their occurrence in the urban parks was very rare compared to the peri-urban park and the control site. These results should serve as a basis for the implementation of preventive measures.","10.1186/s13071-020-04451-1","Lyon",2020,"","TIC000089"
"ticks in cities","Metabarcoding reveals low prevalence of microsporidian infections in castor bean tick (Ixodes ricinus).","Parasites &amp; vectors","Microsporidia is a large group of eukaryotic obligate intracellular spore-forming parasites, of which 17 species can cause microsporidiosis in humans. Most human-infecting microsporidians belong to the genera Enterocytozoon and Encephalitozoon. To date, only five microsporidian species, including Encephalitozoon-like, have been found in hard ticks (Ixodidae) using microscopic methods, but no sequence data are available for them. Furthermore, no widespread screening for microsporidian-infected ticks based on DNA analysis has been carried out to date. Thus, in this study, we applied a recently developed DNA metabarcoding method for efficient microsporidian DNA identification to assess the role of ticks as potential vectors of microsporidian species causing diseases in humans.In total, 1070 (493 juvenile and 577 adult) unfed host-seeking Ixodes ricinus ticks collected at urban parks in the city of Poznan, Poland, and 94 engorged tick females fed on dogs and cats were screened for microsporidian DNA. Microsporidians were detected by PCR amplification and sequencing of the hypervariable V5 region of 18S rRNA gene (18S profiling) using the microsporidian-specific primer set. Tick species were identified morphologically and confirmed by amplification and sequencing of the shortened fragment of cytochrome c oxidase subunit I gene (mini-COI).All collected ticks were unambiguously assigned to I. ricinus. Potentially zoonotic Encephalitozoon intestinalis was identified in three fed ticks (3.2%) collected from three different dogs. In eight unfed host-seeking ticks (0.8%), including three males (1.1%), two females (0.7%) and three nymphs (0.7%), the new microsporidian sequence representing a species belonging to the genus Endoreticulatus was identified.The lack of zoonotic microsporidians in host-seeking ticks suggests that I. ricinus is not involved in transmission of human-infecting microsporidians. Moreover, a very low occurrence of the other microsporidian species in both fed and host-seeking ticks implies that mechanisms exist to defend ticks against infection with these parasites.","10.1186/s13071-022-05150-9","Poznań",2022,"","TIC000090"
"ticks in cities","Factors associated with diversity, quantity and zoonotic potential of ectoparasites on urban mice and voles.","PloS one","Wild rodents are important hosts for tick larvae but co-infestations with other mites and insects are largely neglected. Small rodents were trapped at four study sites in Berlin, Germany, to quantify their ectoparasite diversity. Host-specific, spatial and temporal occurrence of ectoparasites was determined to assess their influence on direct and indirect zoonotic risk due to mice and voles in an urban agglomeration. Rodent-associated arthropods were diverse, including 63 species observed on six host species with an overall prevalence of 99%. The tick Ixodes ricinus was the most prevalent species, found on 56% of the rodents. The trapping location clearly affected the presence of different rodent species and, therefore, the occurrence of particular host-specific parasites. In Berlin, fewer temporary and periodic parasite species as well as non-parasitic species (fleas, chiggers and nidicolous Gamasina) were detected than reported from rural areas. In addition, abundance of parasites with low host-specificity (ticks, fleas and chiggers) apparently decreased with increasing landscape fragmentation associated with a gradient of urbanisation. In contrast, stationary ectoparasites, closely adapted to the rodent host, such as the fur mites Myobiidae and Listrophoridae, were most abundant at the two urban sites. A direct zoonotic risk of infection for people may only be posed by Nosopsyllus fasciatus fleas, which were prevalent even in the city centre. More importantly, peridomestic rodents clearly supported the life cycle of ticks in the city as hosts for their subadult stages. In addition to trapping location, season, host species, body condition and host sex, infestation with fleas, gamasid Laelapidae mites and prostigmatic Myobiidae mites were associated with significantly altered abundance of I. ricinus larvae on mice and voles. Whether this is caused by predation, grooming behaviour or interaction with the host immune system is unclear. The present study constitutes a basis to identify interactions and vector function of rodent-associated arthropods and their potential impact on zoonotic diseases.","10.1371/journal.pone.0199385","Berlin",2018,"","TIC000091"
"ticks in cities","Seasonally biased or single-habitat sampling is not informative on the real prevalence of Dermacentor reticulatus-borne rickettsiae - A pilot study.","Acta veterinaria Hungarica","Dermacentor reticulatus is a tick species of high medical and veterinary importance, emerging in several parts of Europe. Up to now most studies focusing on zoonotic rickettsiae in D. reticulatus were based on ticks collected in a limited part of the questing period, and did not take into account the potential seasonal variations in the rate of infection with tick-borne rickettsiae. The aim of the present study was to investigate the latter phenomenon, i.e. to screen D. reticulatus adults, collected monthly in two urban habitats of Budapest, for the presence of three zoonotic Rickettsia spp. Altogether 852 D. reticulatus adults were collected, which showed significantly similar seasonal activity in the two evaluated habitats. Among the 413 molecularly analysed ticks, R. helvetica-infected D. reticulatus were only collected during autumn in habitat-1, in contrast to habitat-2. The overall prevalence of R. raoultii in D. reticulatus adults was significantly higher in habitat-1 than in habitat-2. In addition, the seasonal distribution of R. raoultii-infected ticks was different between the two habitats (in habitat-2 significantly more R. raoultii-infected ticks were collected in the autumn, in comparison with winter and spring). Rickettsia slovaca was not detected in any of the molecularly analysed ticks. The results clearly indicate that a single-time or seasonally biased collection of D. reticulatus adults and their subsequent molecular analysis may not be informative on the real prevalence of rickettsiae. This is because the availability/ activity of infected ticks shows significant seasonal fluctuations, both within and between habitats. Instead, for screening D. reticulatus-borne rickettsiae, it is important to collect monthly samples and then to assess seasonal prevalence and actual habitat-associated eco-epidemiological risks.","10.1556/004.2017.008","Budapest",2017,"","TIC000092"
"ticks in cities","Borrelia burgdorferi s.l. in Ixodes ricinus (Acari: Ixodidae) ticks collected from vegetation and small rodents in recreational areas of the city of Pozna&#x144;.","Journal of medical entomology","During 1998-1999, Ixodes ricinus (L.) populations were investigated in three different biotopes (deciduous, mixed, coniferous forest) situated in popular recreational areas in Pozna&#x144;, Poland. In total, 1,123 questing ticks (1,002 nymphs, 69 males, 52 females) were collected by flagging vegetation. Additionally, in 1998 between May and September small rodents were trapped and inspected for feeding ticks. Altogether, 213 rodents of three species: Apodemus agrarius Pall., A. flavicollis Melchior, Clethrionomys glareolus Schreber were captured. Of 323 engorged ticks, 304 were larvae and 19 nymphs. All ticks collected from vegetation, as well as from rodents were examined for the presence of Borrelia burgdorferi Johnson, Schmid, Hyde, Steigenwalt &amp; Brenner s.l. spirochetes by indirect immunofluorescence assay (IFA) using PAB 1B29. The seasonal pattern of activity of questing I. ricinus was always bimodal (May/June and August/September). The most abundant tick population occurred in the deciduous forest. The total infection rate in questing ticks was 16.2%. Differences in mean infection prevalence of host-seeking ticks between three biotopes each year were not significant. On average more larvae parasitized on the genus of Apodemus than on C. glareolus. 17.8% of larvae and 31.6% of nymphs fed on rodents harbored spirochetes. The three rodent species contributed to a different degree in to transmission of the pathogen to subadult stages. Approximately 27% of larvae infested on A. agrarius, 22% on C. glareolus, and only 4.2% on A. flavicollis contained spirochetes. The results suggest that the prevalence of A. agrarius and C. glareolus in disturbed urban forests used for leisure activities seems to be crucial for the maintenance of B. burgdorferi s.l. in I. ricinus populations.","10.1603/0022-2585-40.5.690","Poznań",2003,"","TIC000093"
"ticks in cities","Prevalence of spotted fever group rickettsiae in Ixodes ricinus (Acari: Ixodidae) in southern Germany.","Journal of medical entomology","Host-seeking Ixodes ricinus (L.) (Acari: Ixodidae) ticks were collected systematically, from May to September 2006, at selected sites in southern Germany, including a large city park in Munich. Polymerase chain reactions for amplification of genes of the rickettsial citrate synthase (gltA), the outer membrane proteins A and B (ompA and ompB), and the 16S rDNA were used to investigate 2,861 specimens (adults and nymphs). GltA sequences of spotted fever group rickettsiae were detected in 151 of all samples (5.3%; 95% CI = 4.3-6.2%). Sequencing revealed Rickettsia helvetica in 91.4% of the samples and R. monacensis in 8.6%. Amplification of ompA was not possible for R. helvetica, but in all except one of the R. monacensis. The results were analyzed statistically to test the effects of season, location, developmental stage, and gender of the tick on prevalence of Rickettsia spp. Although rickettsial DNA was detected in all investigated sites, sites in natural forest areas had significantly higher prevalences than sites in landscaped city parks. Adult female and male ticks had a similar prevalence and were significantly more often infected than nymphs. Monthly differences were not statistically significant. These results clearly show that R. helvetica is widespread throughout the study region and could result in a threat to public health in areas of high prevalence.","10.1603/0022-2585(2008)45[948:posfgr]2.0.co;2","Munich",2008,"","TIC000094"
"ticks in cities","Diversity of Babesia in Ixodes ricinus ticks in Poland.","Advances in medical sciences","The aims of this study were: (1) to estimate Babesia prevalence in the most common species of tick in Poland, Ixodes ricinus, in two recreational areas (Urwita&#x142;t in the Mazury Lake District and Biela&#x144;ski Forest in Warsaw), and (2) to evaluate the molecular diversity of Babesia isolates in questing I. ricinus in Poland.Questing ticks were collected from vegetation in forest areas in Urwita&#x142;t near Miko&#x142;ajki and in Biela&#x144;ski Forest (Warsaw). Purified genomic DNA was used with specific primers to amplify a fragment of the Babesia spp. 18S rRNA gene.Tick-drag indices for I. ricinus were high in both study areas, reaching somewhat higher values in Urwita&#x142;t than in Biela&#x144;ski Forest. The overall prevalence of Babesia spp. in examined ticks was 1.6%. In Urwita&#x142;t, two strains of B. microti were identified using rRNA sequences: the enzootic Munich strain and an isolate close to the zoonotic Jena strain. The proportion of infections due to these two strains in questing ticks reversed over a six-year period. During 3 years of study in Biela&#x144;ski Forest, all Babesia isolates obtained from I. ricinus were identical to Babesia sp. EU1 (B. venatorum), previously recognized as an agent of human babesiosis.This study has confirmed the presence of enzoonotic and zoonotic Babesia species/strains in the abundant human-biting tick I. ricinus in recreational areas in Poland. It has also shown that the distribution of different genotypes has changed over time, however the reasons for these fluctuations still remain to be investigated.","10.2478/v10039-012-0023-9","Munich",2012,"","TIC000095"
